"question","right_rung","why","the_trap"
"Did Begich voters who ranked a second choice prefer Peltola or Howe?","ballot","The two rankings must sit on the same ballot. No total can restore them.","Precinct returns for an RCV race give round-by-round totals, not pairs."
"What share of a candidate's votes arrived by mail?","ballot, or precinct-by-method returns","It is a joint distribution. Georgia publishes it; most states do not.","Regressing precinct Dem share on precinct mail share returns 194%."
"Is voting in this county racially polarized?","precinct","Smallest unit with returns; demographics attach through blocks.","The estimate is an inference, not a measurement. Report the bounds."
"Which neighbourhoods swung between two elections?","precinct","County hides the variation; but check the boundary did not move.","A precinct that 'swung' may just have gained three hundred houses."
"Which doors should a campaign knock on Saturday?","precinct","Fine enough to route a walk list, coarse enough to be stable.","A precinct is not a person; targeting is a bet on an average."
"How many mail ballots were rejected, and for what reason?","election jurisdiction","The jurisdiction is what administers and reports rejection.","'Jurisdiction' is a township in Wisconsin and a county in Texas."
"Did counties with less education move right?","county","'County' is the unit the education measure is published on.","Robinson (1950): the county pattern need not hold for county residents."
"Does this map convert votes into seats fairly?","congressional district","The seat is the district. Precincts must be aggregated into it first.","Districts do not nest into counties; someone had to disaggregate blocks."
"Who won the presidency?","state","The electoral college is counted in states, not in voters.","The popular vote is not the quantity being decided."
"Is the country's partisan balance shifting across decades?","nation","Only the top rung gives one comparable number over a long series.","Anything below the top rung has changed shape underneath the series."
