"position","beat","companion","chapter","title","topic"
1,"1 source",FALSE,"surveys-source","What a Survey Can Establish That No Record Can","What no sample size will buy"
2,"2 access",FALSE,"survey-access","Free, Public, and Unreachable","Six survey archives, two HTTP clients, and a wall that judges the program rather than the person"
3,"3 instrument",FALSE,"anes","Reading the ANES Cumulative File","Seventy-six years of survey answers, and three columns that run backwards"
4,"4 use",FALSE,"party-id","Party Identification and the Leaner Problem","One coding decision, and the most repeated number in American politics moves by a factor of five"
5,"4 use",FALSE,"gender-gap","The Gender Gap Is a Subtraction","Fifty-two years of party identification, the one number everybody quotes, and the two numbers underneath it"
6,"4 use",FALSE,"ideology","Ideological Self-Placement in ANES","A fifth of Americans decline to place themselves, and the survey invited them to"
7,"4 use",FALSE,"partisan-economy","What a Question About the Economy Measures","One economy, one question, and an answer that changes sign every time the White House changes party"
8,"4 use",FALSE,"abortion-opinion","Abortion Opinion, 1980-2024","The most recent study first, and the fifty years underneath it"
9,"4 use",FALSE,"gss-confidence","Confidence in Institutions, GSS 1973-2024","Fifty-one years of one question, and the summary that does not survive it"
10,"4 use",FALSE,"thermometers","Nobody Started Liking Their Own Side More","Forty-six years of feeling thermometers, the half of the gap that moved, and the two numbers that are not temperatures"
11,"4 use",FALSE,"models-markets","Grading Probabilistic Election Forecasts","746 resolved prediction markets, and what it takes to grade a forecast"
12,"5 critique",FALSE,"validated-turnout","Validated Turnout Against Self-Reported Turnout","Counted ballots against what people said they did, 1964-2024"
13,"5 critique",FALSE,"ces-class","Survey Weighting in the Cooperative Election Study","The Cooperative Election Study, the weights it applies to itself, and what a room can measure"
14,"5 critique",FALSE,"ces-states","Sixty Thousand People, and Sixty-Eight Vermonters","What the largest political survey in America buys, where it runs out, and the difference between being precise and being right"
15,"5 critique",FALSE,"poll-weighting","One Poll, Five Answers","867 Florida voters, the weights that turned them into a result, and the winner that changes when you turn the dial"
16,"5 critique",FALSE,"poll-simulation","What a Margin of Error Does and Does Not Cover","Everything that goes wrong outside the sampling"
17,"5 critique",FALSE,"perception-gap","Everyone Guesses Forty","A famous misperception rebuilt from its own archive, and the two estimates the gap is a subtraction between"
