"position","cluster","cluster_name","type","doc","title","topic"
1,"II.1","What a Survey Can Establish","chapter","surveys-source","What a Survey Can Establish That No Record Can","What no sample size will buy"
2,"II.1","What a Survey Can Establish","brief","survey-access","Free, Public, and Unreachable","Six survey archives, two HTTP clients, and a wall that judges the program rather than the person"
3,"II.1","What a Survey Can Establish","brief","age-structure","The Age Structure of the Electorate","Who is old enough to vote, who says they voted, and sixty years of the gap between the two"
4,"II.2","Weighting","chapter","ces-class","Survey Weighting in the Cooperative Election Study","The Cooperative Election Study, the weights it applies to itself, and what a room can measure"
5,"II.2","Weighting","brief","ces-states","Sixty Thousand People, and Sixty-Eight Vermonters","What the largest political survey in America buys, where it runs out, and the difference between being precise and being right"
6,"II.3","Political Polls","brief","poll-weighting","One Poll, Five Answers","867 Florida voters, the weights that turned them into a result, and the winner that changes when you turn the dial"
7,"II.3","Political Polls","brief","poll-simulation","What a Margin of Error Does and Does Not Cover","Everything that goes wrong outside the sampling"
8,"II.4","Public Opinion","chapter","anes","Reading the ANES Cumulative File","Seventy-six years of survey answers, and three columns that run backwards"
9,"II.4","Public Opinion","brief","party-id","Party Identification and the Leaner Problem","One coding decision, and the most repeated number in American politics moves by a factor of five"
10,"II.4","Public Opinion","brief","gender-gap","The Gender Gap Is a Subtraction","Fifty-two years of party identification, the one number everybody quotes, and the two numbers underneath it"
11,"II.4","Public Opinion","brief","ideology","Ideological Self-Placement in ANES","A fifth of Americans decline to place themselves, and the survey invited them to"
12,"II.4","Public Opinion","brief","partisan-economy","What a Question About the Economy Measures","One economy, one question, and an answer that changes sign every time the White House changes party"
13,"II.4","Public Opinion","brief","abortion-opinion","Abortion Opinion, 1980-2024","The most recent study first, and the fifty years underneath it"
14,"II.4","Public Opinion","brief","gss-confidence","Confidence in Institutions, GSS 1973-2024","Fifty-one years of one question, and the summary that does not survive it"
15,"II.4","Public Opinion","brief","thermometers","Nobody Started Liking Their Own Side More","Forty-six years of feeling thermometers, the half of the gap that moved, and the two numbers that are not temperatures"
16,"II.4","Public Opinion","brief","perception-gap","Everyone Guesses Forty","What Americans think each party is made of, how wrong that is, and the one thing they are most wrong about"
