"check","value","expected","ok"
"baseline reproduces the 2024 House",215,215,TRUE
"every district has a starting share",435,435,TRUE
"the seats-votes curve is non-decreasing",0,0,TRUE
"simulated seats never leave 0-435",342,435,TRUE
"aggregators agree to within 1.5 points of margin",0.5,1.5,TRUE
"uniform swing beats assuming no change, in the backtest",9,19.9,TRUE
"the redistricting table parsed as seats, not as notes",5,8,TRUE
"the Senate adds up to 100",100,100,TRUE
"every Senate election yielded about a full class",25,20,TRUE
"the Senate is the harder chamber for the Democrats",54.4,49.2,TRUE
"sharing the national error raises P(both chambers)",0.5865,0.532,TRUE
"P(both) lies between its bounds",0.5865,0.5888,TRUE
