check,value,passed
"arguments parsed is within 10% of the 1,425 Epstein-Posner report",1409,True
no argument falls outside the 2005-2025 terms,True,True
share of turns dropped as administrative or courtesy is under 10%,2.63,True
at least 95% of arguments have a duration,99.9,True
no argument runs longer than 6 hours,192.3,True
every justice who spoke has a seniority rank,16,True
seniority order is rare before the telephone rule,0.0,True
seniority order is common under the telephone rule,97.1,True
"silences found, against the 1,354 the report counts",1461,True
"Thomas's share of all silences, which the report puts near 80%",71.1,True
the recent window holds exactly nine justices,9,True
at least one justice moves 3 or more places across the six measures,7,True
the six measures do not all produce the same ranking,24,True
the exhibit transcript was captured,True,True
